time,dB(SPL)
86351,24.60898
86395,20.82785
86446,31.82129
86496,58.37109
86546,51.24586
86598,27.60422
86647,33.80392
86697,20.82785
86747,20.00000
86797,24.08240
86847,20.82785
86897,33.97940
86947,36.77698
87000,20.00000
87046,23.52183
87098,18.06180
87146,19.08485
87197,19.08485
87247,25.10545
87296,21.58362
87346,18.06180
87412,20.00000
87446,16.90196
87496,28.94316
87546,58.90937
87596,45.71115
87647,28.29947
87699,23.52183
87746,20.82785
87797,21.58362
87847,28.62728
87897,34.48552
87946,26.44439
87998,27.23456
88046,28.62728
88097,29.24796
88147,30.10300
88197,32.04120
88248,38.27628
88297,20.00000
88346,59.43479
88396,40.50612
88453,32.86905
88495,58.43373
88545,59.26631
88595,33.06425
88646,58.41290
88696,41.58362
88746,24.08240
88797,30.88136
88846,31.36403
88897,33.80392
88946,26.84845
88996,19.08485
89047,16.90196
89096,15.56303
89146,28.29947
89197,27.60422
89247,20.00000
89297,16.90196
89346,16.90196
89397,22.92256
89449,29.24796
89495,33.62482
89546,34.96376
89596,32.04120
89647,27.95880
89697,28.94316
89747,21.58362
89797,27.60422
89847,39.36966
89897,30.62958
89947,32.86905
89997,26.44439
90046,19.08485
90097,27.23456
90148,30.37028
90197,24.08240
90246,20.82785
90298,23.52183
90347,27.95880
90398,22.27887
90449,36.12360
90496,38.58838
90546,32.46499
90597,35.41704
90647,30.37028
90697,18.06180
90746,24.08240
90796,31.12605
90846,32.25568
90897,26.02060
90946,26.44439
90997,19.08485
91047,25.57507
91096,25.57507
91148,30.10300
91197,28.62728
91247,26.84845
91296,24.60898
91346,26.84845
91396,30.10300
91451,32.04120
91496,57.09826
91546,57.09826
91597,33.97940
91646,27.60422
91697,24.08240
91746,19.08485
91798,21.58362
91846,25.57507
91897,20.00000
91946,25.57507
91996,24.60898
92047,27.95880
92097,24.08240
92146,19.08485
92197,18.06180
92247,18.06180
92298,16.90196
92346,15.56303
92396,20.82785
92446,28.29947
92502,26.84845
92546,24.60898
92597,28.94316
92647,31.36403
92697,29.54243
92746,24.08240
92797,20.00000
92847,34.32007
92897,29.82723
92954,29.54243
92996,21.58362
93047,27.95880
93098,22.92256
93146,21.58362
93197,18.06180
93246,18.06180
93297,20.82785
93347,23.52183
93397,16.90196
93446,59.74438
93505,45.48316
93546,27.60422
93596,59.40694
93646,39.27576
93696,30.62958
93746,29.24796
93796,27.95880
93846,26.44439
93897,20.82785
93947,29.24796
93997,27.60422
94046,29.82723
94096,25.10545
94146,32.25568
94196,29.24796
94246,25.10545
94297,21.58362
94346,24.60898
94396,30.37028
94446,33.62482
94504,57.70722
94546,38.68997
94596,29.24796
94646,34.15140
94697,27.60422
94746,20.82785
94796,16.90196
94846,22.92256
94895,21.58362
94948,19.08485
94997,18.06180
95047,16.90196
95097,13.97940
95147,18.06180
95196,15.56303
95247,20.82785
95297,27.60422
95347,20.82785
95396,20.00000
95446,29.82723
95496,28.62728
95551,30.62958
95596,24.08240
95646,33.97940
95697,35.41704
95747,24.60898
95797,18.06180
95846,20.82785
95898,28.62728
95946,23.52183
95997,24.08240
96046,18.06180
96097,20.00000
96146,25.10545
96197,24.60898
96246,30.62958
96296,19.08485
96346,20.82785
96397,24.60898
96447,21.58362
96497,32.04120
96554,29.24796
96596,21.58362
96647,33.06425
96697,34.64788
96747,34.64788
96797,22.92256
96846,21.58362
96897,16.90196
96946,27.60422
96996,30.37028
97046,31.36403
97096,25.57507
97148,26.44439
97198,16.90196
97246,15.56303
97297,20.82785
97347,16.90196
97397,15.56303
97446,56.81466
97496,59.19990
97560,42.21179
97595,28.29947
97646,57.31392
97696,58.62916
97746,36.25827
97797,34.15140
97847,25.10545
97898,24.08240
97947,23.52183
97997,27.95880
98047,20.82785
98097,22.92256
98146,22.92256
98196,18.06180
98246,16.90196
98298,19.08485
98346,16.90196
98396,13.97940
98446,22.92256
98497,27.95880
98548,29.82723
98596,29.54243
98646,36.52150
98697,34.64788
98747,28.62728
98797,23.52183
98846,19.08485
98897,21.58362
98946,26.44439
98996,19.08485
99046,26.02060
99097,29.54243
99145,26.02060
99196,30.62958
99246,30.88136
99296,32.25568
99346,20.00000
99397,24.08240
99446,21.58362
99497,26.44439
99558,29.82723
99596,16.90196
99646,32.66937
99696,34.80725
99746,32.04120
99797,26.44439
99847,20.82785
99896,20.82785
99947,20.00000
99997,16.90196
100047,13.97940
100098,15.56303
100146,18.06180
100196,19.08485
100247,20.00000
100295,16.90196
100346,26.84845
100396,21.58362
100446,18.06180
100497,28.62728
100549,31.12605
100604,26.84845
100645,25.10545
100696,22.92256
100747,30.37028
100797,28.62728
100846,24.08240
100897,21.58362
100946,22.27887
100997,28.62728
101047,24.08240
101096,20.00000
101147,19.08485
101197,20.82785
101246,19.08485
101297,15.56303
101346,19.08485
101397,21.58362
101446,20.00000
101496,19.08485
101547,57.38463
101609,26.84845
101646,27.60422
101697,30.37028
101746,34.15140
101797,28.29947
101849,28.29947
101897,20.82785
101946,20.00000
101998,20.82785
102047,18.06180
102097,13.97940
102147,19.08485
102197,19.08485
102247,25.10545
102297,24.60898
102346,22.27887
102395,20.00000
102446,20.82785
102496,59.26631
102546,42.07607
102601,28.94316
102646,25.10545
102696,32.66937
102746,33.62482
102799,28.94316
102847,21.58362
102897,27.60422
102947,25.10545
102997,22.27887
103046,20.82785
103097,28.94316
103146,33.25516
103196,34.64788
103248,23.52183
103298,20.00000
103346,19.08485
103397,18.06180
103446,27.23456
103496,33.62482
103546,30.88136
103600,24.60898
103646,18.06180
103696,32.04120
103747,35.11750
103796,22.27887
103846,23.52183
103896,33.97940
103946,36.39088
103996,33.44196
104046,33.25516
104096,30.37028
104146,26.02060
104197,28.29947
104246,26.02060
104296,18.06180
104348,26.44439
104397,29.82723
104446,25.10545
104496,25.10545
104545,26.84845
104595,20.00000
104648,34.48552
104695,32.04120
104746,33.97940
104796,30.37028
104846,34.15140
104896,26.02060
104946,24.08240
104996,20.82785
105048,18.06180
105097,22.27887
105146,15.56303
105195,22.27887
105246,26.84845
105296,19.08485
105346,16.90196
105397,18.06180
105447,21.58362
105498,27.60422
105546,20.00000
105597,20.82785
105646,28.62728
105706,31.82129
105746,33.62482
105796,27.60422
105846,34.15140
105896,26.84845
105946,21.58362
105996,21.58362
106046,28.62728
106097,31.12605
106146,27.60422
106197,31.82129
106246,20.00000
106297,21.58362
106346,18.06180
106397,25.10545
106446,23.52183
106497,19.08485
106547,16.90196
106597,13.97940
106647,21.58362
106702,12.04120
106745,24.60898
106796,30.88136
106847,36.12360
106898,26.02060
106946,26.44439
106997,34.96376
107049,29.24796
107097,15.56303
107147,19.08485
107197,18.06180
107247,18.06180
107296,15.56303
