time,dB(SPL)
41387,42.79758
41436,44.34968
41486,45.71115
41536,27.23456
41586,26.02060
41637,16.90196
41687,19.08485
41737,20.00000
41786,19.08485
41836,24.08240
41886,39.18083
41936,40.00000
41986,40.66848
42035,38.48559
42086,38.48559
42136,40.08643
42186,38.98780
42236,41.06157
42291,41.72720
42336,40.08643
42386,43.40523
42436,43.52183
42486,44.60898
42537,45.62067
42586,47.74780
42638,43.10672
42686,46.60828
42736,24.08240
42786,47.34712
42835,39.27576
42886,38.27628
42938,38.79039
42987,40.25674
43036,40.00000
43086,40.42379
43139,37.95254
43186,38.98780
43236,40.34067
43286,40.08643
43339,40.58768
43386,58.76038
43436,57.11038
43487,38.06180
43536,41.06157
43587,40.42379
43636,44.24375
43687,25.10545
43736,44.40216
43786,45.75603
43838,46.44439
43886,45.84512
43936,26.44439
43986,21.58362
44036,19.08485
44086,18.06180
44136,15.56303
44187,44.19030
44238,28.62728
44286,46.56759
44342,44.91025
44387,48.02801
44435,46.44439
44486,46.68908
44536,46.31941
44587,44.60898
44638,43.22736
44687,42.41148
44736,41.86843
44788,42.14420
44839,41.93820
44886,41.79810
44938,43.52183
44986,43.63687
45036,42.60668
45086,42.86030
45136,42.00741
45185,58.32908
45236,59.48102
45286,35.70660
45347,42.86030
45386,43.97314
45435,22.92256
45485,35.41704
45536,36.52150
45586,25.10545
45636,19.08485
45686,18.06180
45737,47.67631
45786,55.53402
45836,54.21926
45886,35.70660
45937,26.02060
45986,20.00000
46037,19.08485
46088,49.77101
46137,57.00067
46186,59.96519
46238,53.29284
46286,52.78973
46347,32.25568
46385,54.10016
46435,53.49722
46486,54.18540
46540,27.23456
46587,54.08301
46640,51.31696
46686,53.47884
46737,33.06425
46786,53.47884
46837,27.60422
46886,53.21731
46937,52.92807
46986,33.06425
47037,29.54243
47086,18.06180
47136,22.92256
47187,22.27887
47236,26.44439
47288,24.08240
47349,24.08240
47386,15.56303
47435,21.58362
47486,58.47524
47536,43.52183
47587,27.95880
47635,37.61627
47686,41.06157
47736,40.98436
47786,40.66848
47836,38.79039
47887,39.64542
47936,36.65018
47987,39.27576
48036,41.13810
48086,38.38156
48136,30.10300
48187,41.51094
48237,41.43764
48287,41.36372
48335,40.82785
48390,42.79758
48436,22.27887
48486,45.75603
48537,45.10545
48588,42.67078
48636,44.45433
48687,50.80659
48741,44.55773
48785,59.20942
48835,58.36061
48889,46.48565
48936,46.68908
48986,42.27887
49036,43.80663
49086,45.52924
49137,40.82785
49186,47.53154
49236,33.06425
49285,42.92256
49336,32.86905
49394,34.32007
49436,30.88136
49486,35.56303
49536,34.32007
49587,33.44196
49639,32.66937
49687,27.95880
49740,18.06180
49786,20.82785
49837,13.97940
49886,34.80725
49939,30.37028
49986,38.38156
50036,26.44439
50086,46.76913
50136,45.57507
50186,44.19030
50236,44.13652
50286,44.02794
50339,43.63687
50390,43.63687
50436,42.79758
50486,43.63687
50536,44.29688
50587,43.22736
50637,42.86030
50686,42.00741
50739,42.47703
50787,44.71057
50838,44.71057
50886,46.31941
50940,41.58362
50986,45.97706
51036,42.98438
51087,44.50619
51136,44.55773
51186,60.16348
51236,42.92256
51286,45.10545
51335,43.69383
51390,33.44196
51436,40.82785
51487,45.34343
51539,44.55773
51586,45.39026
51636,44.45433
51686,43.97314
51736,48.97413
51787,49.88309
51837,41.93820
51886,50.07581
51939,49.85521
51987,44.40216
52036,44.76092
52086,45.88932
52135,44.81098
52186,43.10672
52237,38.98780
52286,44.71057
52338,36.52150
52392,42.54210
52435,42.79758
52485,58.87978
52536,61.82630
52586,58.74032
52637,42.00741
52685,46.96610
52735,44.76092
52786,42.98438
52837,42.27887
52887,43.80663
52936,42.92256
52987,43.69383
53037,46.02060
53086,45.62067
53135,44.76092
53187,42.92256
53237,26.02060
53287,32.46499
53339,41.65571
53392,44.02794
53436,43.97314
53486,42.54210
53536,32.04120
53589,26.84845
53637,21.58362
53687,21.58362
53737,20.00000
53786,42.98438
53836,45.10545
53887,42.14420
53938,43.10672
53987,43.10672
54038,18.06180
54087,44.91025
54135,45.88932
54186,41.79810
54237,44.08240
54287,46.80888
54336,41.43764
54390,24.60898
54436,18.06180
54486,29.82723
54536,35.11750
54588,25.57507
54636,46.06392
54686,45.29636
54737,45.05706
54787,46.80888
54838,46.06392
54888,46.68908
54938,46.36127
54986,46.10703
55037,46.27734
55086,46.14992
55136,44.71057
55186,45.10545
55236,46.06392
55285,47.00496
55336,45.57507
55395,45.10545
55436,46.02060
55486,42.14420
55536,33.06425
55587,44.65992
55637,43.97314
55689,50.29096
55736,50.07581
55785,48.94316
55835,49.03573
55886,48.19866
55936,44.65992
55987,39.18083
56036,37.84189
56086,38.16970
56136,39.08485
56186,58.78040
56236,43.86249
56287,57.90845
56336,38.48559
56386,58.50624
56449,58.21249
56486,38.38156
56536,26.84845
56586,24.60898
56636,32.04120
56687,38.38156
56735,33.44196
56787,20.82785
56837,22.92256
56886,20.82785
56936,19.08485
56986,18.06180
57036,21.58362
57085,24.08240
57136,35.56303
57187,34.64788
57239,19.08485
57288,20.82785
57337,18.06180
57387,18.06180
57443,15.56303
57486,16.90196
57536,34.96376
57586,39.82452
57636,40.50612
57685,39.91270
57736,37.84189
57787,41.58362
57836,38.27628
57888,40.00000
57936,39.73543
57985,34.48552
58037,26.02060
58087,20.00000
58136,16.90196
58186,38.48559
