time,dB(SPL)
87583,25.10545
87634,22.27887
87683,27.60422
87733,24.08240
87785,27.23456
87837,19.08485
87882,22.92256
87933,57.06179
87983,58.50624
88033,40.00000
88084,26.02060
88133,20.00000
88184,18.06180
88234,15.56303
88284,21.58362
88334,20.00000
88383,20.82785
88434,16.90196
88482,24.08240
88534,26.44439
88584,24.08240
88636,30.88136
88684,29.24796
88733,24.08240
88787,27.60422
88837,21.58362
88883,20.82785
88932,32.66937
88984,30.37028
89033,24.60898
89083,20.00000
89133,16.90196
89184,18.06180
89234,20.82785
89284,20.00000
89333,28.29947
89384,24.08240
89435,18.06180
89483,16.90196
89534,29.24796
89584,31.12605
89634,25.10545
89683,19.08485
89734,24.60898
89782,21.58362
89833,18.06180
89886,20.00000
89932,31.59567
89983,31.82129
90033,31.12605
90084,32.25568
90133,31.36403
90183,22.27887
90235,26.02060
90283,18.06180
90333,16.90196
90385,18.06180
90435,13.97940
90483,13.97940
90534,55.59193
90583,58.25507
90633,26.84845
90684,26.02060
90734,16.90196
90784,19.08485
90836,21.58362
90894,27.23456
90933,18.06180
90984,26.02060
91032,31.82129
91083,32.04120
91134,26.84845
91185,42.54210
91233,33.06425
91285,41.79810
91333,49.00498
91383,36.12360
91433,52.72976
91485,53.38634
91533,26.44439
91582,31.36403
91633,57.65049
91683,60.17200
91733,59.46256
91783,58.57815
91833,47.08217
91892,36.25827
91933,26.02060
91983,26.84845
92034,34.32007
92085,30.10300
92134,22.92256
92184,29.54243
92233,20.00000
92283,28.62728
92335,22.27887
92384,16.90196
92434,19.08485
92483,31.12605
92533,22.92256
92584,19.08485
92635,20.82785
92686,16.90196
92734,18.06180
92783,25.10545
92834,29.82723
92883,24.08240
92939,20.00000
92984,18.06180
93033,30.88136
93084,30.88136
93133,32.66937
93184,25.57507
93233,19.08485
93284,19.08485
93334,16.90196
93384,20.00000
93434,26.02060
93483,22.92256
93533,21.58362
93584,30.10300
93634,20.82785
93684,20.82785
93734,20.00000
93784,32.46499
93833,28.29947
93883,30.37028
93937,29.82723
93983,25.57507
94033,34.64788
94083,33.97940
94134,26.44439
94183,22.27887
94233,19.08485
94283,20.00000
94333,22.27887
94385,26.84845
94433,20.82785
94483,57.78603
94533,58.53713
94585,41.21396
94634,25.10545
94683,24.60898
94733,25.57507
94784,18.06180
94833,19.08485
94884,18.06180
94948,16.90196
94983,13.97940
95033,20.82785
95083,26.02060
95133,26.44439
95183,20.00000
95233,16.90196
95283,16.90196
95334,26.44439
95384,22.92256
95434,15.56303
95483,19.08485
95533,13.97940
95583,35.56303
95633,31.36403
95683,28.62728
95733,35.26856
95785,28.94316
95833,19.08485
95884,19.08485
95951,22.92256
95983,31.36403
96032,32.66937
96083,32.25568
96133,28.94316
96183,21.58362
96234,24.08240
96283,22.27887
96334,35.26856
96384,29.82723
96433,20.00000
96483,20.00000
96535,20.00000
96583,26.02060
96634,26.84845
96684,21.58362
96733,16.90196
96784,15.56303
96835,16.90196
96884,15.56303
96940,19.08485
96982,29.82723
97033,31.12605
97083,31.59567
97134,26.44439
97183,16.90196
97233,20.82785
97284,30.88136
97333,22.27887
97385,20.82785
97433,16.90196
97483,16.90196
97534,16.90196
97584,29.54243
97633,30.37028
97686,20.82785
97734,18.06180
97783,16.90196
97833,27.23456
97883,33.80392
97937,33.06425
97983,30.37028
98032,29.24796
98083,33.44196
98132,33.97940
98182,30.10300
98233,36.65018
98284,35.41704
98334,25.10545
98384,21.58362
98434,16.90196
98483,18.06180
98535,20.82785
98583,32.86905
98634,24.08240
98684,19.08485
98733,15.56303
98784,16.90196
98835,16.90196
98883,25.10545
98944,30.37028
98983,28.94316
99033,33.06425
99083,35.84783
99134,28.62728
99184,34.48552
99234,31.36403
99285,27.95880
99333,21.58362
99384,25.10545
99438,20.82785
99482,31.82129
99533,58.62916
99584,38.88965
99634,60.77240
99684,25.57507
99733,19.08485
99783,20.82785
99833,22.92256
99884,24.08240
99942,23.52183
99983,16.90196
100032,21.58362
100083,33.06425
100133,29.54243
100184,28.29947
100234,25.10545
100283,29.82723
100334,31.12605
100383,24.60898
100433,20.82785
100483,26.44439
100534,23.52183
100584,24.08240
100634,21.58362
100683,22.27887
100733,25.10545
100783,27.23456
100834,27.60422
100885,25.57507
100933,16.90196
100990,16.90196
101033,18.06180
101083,34.32007
101133,33.25516
101184,28.94316
101234,28.29947
101285,24.08240
101334,19.08485
101385,25.10545
101433,22.92256
101484,21.58362
101533,29.24796
101583,30.37028
101633,32.66937
101683,31.82129
101736,27.60422
101784,28.94316
101833,22.92256
101883,29.54243
101933,22.27887
101985,18.06180
102037,59.28519
102083,60.11219
102133,43.69383
102182,34.64788
102233,31.82129
102283,34.96376
102334,27.23456
102383,30.88136
102433,20.82785
102483,20.00000
102533,29.82723
102585,32.25568
102634,19.08485
102685,22.27887
102732,20.82785
102784,19.08485
102837,16.90196
102883,13.97940
102933,18.06180
102986,19.08485
103032,31.36403
103083,33.80392
103134,34.48552
103183,26.02060
103233,16.90196
103284,20.00000
103334,26.44439
103384,29.24796
103434,15.56303
103483,18.06180
103533,13.97940
103584,18.06180
103634,19.08485
103683,20.82785
103733,20.00000
103784,20.00000
103834,20.82785
103883,18.06180
103934,21.58362
103990,33.62482
104033,53.58856
104083,32.25568
104133,34.64788
104183,31.59567
104233,32.25568
104283,35.11750
104333,33.44196
104383,33.44196
104433,34.32007
104483,29.82723
104532,58.56792
104582,51.97581
104633,58.67986
104684,38.58838
104735,27.60422
104783,16.90196
104833,20.00000
104884,19.08485
104933,20.00000
104983,50.73117
105040,54.38663
105082,54.33675
105134,51.99766
105183,33.80392
105234,29.24796
105289,22.92256
105333,30.62958
105383,35.56303
105433,35.84783
105483,37.26646
105534,26.84845
105585,29.24796
105633,23.52183
105683,37.95254
105733,29.54243
105783,31.82129
105832,31.12605
105884,38.68997
105933,43.22736
105983,53.00615
106032,33.06425
106085,25.10545
106132,50.73117
106183,41.36372
106233,40.17200
106283,53.04493
106334,42.07607
106383,41.06157
106432,53.36772
106483,44.02794
106532,34.48552
106583,40.50612
106634,38.79039
106684,37.02517
106733,36.77698
106784,36.77698
106833,36.65018
106884,38.98780
106934,37.02517
106983,40.00000
107034,37.95254
107091,36.77698
107133,33.25516
107184,39.73543
107233,38.88965
107284,35.98681
107334,38.16970
107384,24.60898
107433,37.84189
107485,32.46499
107534,28.29947
107583,59.75333
107633,39.91270
107683,19.08485
107734,20.00000
107783,25.10545
107833,26.02060
107883,37.26646
107933,37.50123
107985,35.84783
108033,38.27628
108084,35.26856
108133,35.26856
108184,35.98681
108233,35.11750
108283,36.39088
108333,35.26856
108383,35.26856
108433,36.65018
108484,38.38156
108533,38.38156
108582,33.25516
108633,56.88954
108683,58.16970
108733,24.08240
108783,20.82785
108833,22.92256
108883,27.60422
108935,20.00000
108983,59.11376
109033,33.06425
109089,24.08240
109138,40.25674
109182,38.88965
109233,59.60007
109283,60.04332
109333,58.93887
109383,59.19990
109433,40.50612
109482,38.06180
109532,57.69591
109583,59.73543
109633,39.46256
109686,37.72981
109733,26.84845
109785,29.24796
109834,29.82723
109884,36.90196
109933,32.66937
